Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
41280,41280,41280,1690828800,3788.086,1240930500,155116312.5
41280,41280,41280,1690828800,3719.727,1218882000,152360250
41280,41280,41280,1690828800,3950.195,1294432000,161804000
41280,41280,41280,1690828800,4033.203,1321211500,165151437.5
41280,41280,41280,1690828800,4004.883,1312105000,164013125
41280,41280,41280,1690828800,4053.711,1328094500,166011812.5
41280,41280,41280,1690828800,4001.953,1310302500,163787812.5
41280,41280,41280,1690828800,4057.617,1329405500,166175687.5
41280,41280,41280,1690828800,4062.5,1331047000,166380875
41280,41280,41280,1690828800,4033.203,1321088000,165136000
41280,41280,41280,1690828800,4043.945,1324776500,165597062.5
41280,41280,41280,1690828800,4007.8125,1313067000,164133375
41280,41280,41280,1690828800,4144.531,1358004500,169750562.5
41280,41280,41280,1690828800,4089.844,1340063000,167507875
41280,41280,41280,1690828800,4130.859,1353825500,169228187.5
41280,41280,41280,1690828800,4007.8125,1313100500,164137562.5
43344,43344,43344,1775370240,4121.094,1350046500,168755812.5
41280,41280,41280,1690828800,3983.398,1304804000,163100500
43344,43344,43344,1775370240,4089.844,1339655000,167456875
41280,41280,41280,1690828800,4057.617,1329403000,166175375
41280,41280,41280,1690828800,3977.539,1302232000,162779000
41280,41280,41280,1690828800,4051.758,1327130000,165891250
43344,43344,43344,1775370240,3955.078,1296122500,162015312.5
41280,41280,41280,1690828800,4085.9375,1338711500,167338937.5
41280,41280,41280,1690828800,4044.922,1324926500,165615812.5
41280,41280,41280,1690828800,4022.461,1317783500,164722937.5
41280,41280,41280,1690828800,3844.727,1259501500,157437687.5
41280,41280,41280,1690828800,3773.4375,1236188000,154523500
41280,41280,41280,1690828800,4150.391,1359846500,169980812.5
41280,41280,41280,1690828800,4084.961,1338369000,167296125
41280,41280,41280,1690828800,4139.648,1356199500,169524937.5
41280,41280,41280,1690828800,4275.391,1400496500,175062062.5
41280,41280,41280,1690828800,4066.406,1332293000,166536625
43344,43344,43344,1775370240,4136.719,1355282500,169410312.5
41280,41280,41280,1690828800,4144.531,1357549000,169693625
41280,41280,41280,1690828800,4134.766,1354489500,169311187.5
41280,41280,41280,1690828800,4054.6875,1328886000,166110750
41280,41280,41280,1690828800,4041.016,1323786500,165473312.5
41280,41280,41280,1690828800,4039.0625,1323443500,165430437.5
41280,41280,41280,1690828800,4004.883,1312227000,164028375
41280,41280,41280,1690828800,4169.922,1366040000,170755000
41280,41280,41280,1690828800,4017.578,1315929000,164491125
41280,41280,41280,1690828800,3863.281,1265472000,158184000
41280,41280,41280,1690828800,3916.992,1283105000,160388125
41280,41280,41280,1690828800,3731.445,1222562500,152820312.5
41280,41280,41280,1690828800,4003.906,1310791500,163848937.5
41280,41280,41280,1690828800,4042.969,1324437500,165554687.5
43344,43344,43344,1775370240,4065.43,1331559500,166444937.5
41280,41280,41280,1690828800,4033.203,1320834000,165104250
41280,41280,41280,1690828800,4051.758,1327360500,165920062.5
43344,43344,43344,1775370240,4069.336,1333088000,166636000
41280,41280,41280,1690828800,4038.086,1322080000,165260000
41280,41280,41280,1690828800,4000,1310167500,163770937.5
39216,39216,39216,1606287360,4066.406,1332330500,166541312.5
43344,43344,43344,1775370240,4048.828,1326348500,165793562.5
41280,41280,41280,1690828800,3826.172,1253118000,156639750
41280,41280,41280,1690828800,4080.078,1336739000,167092375
41280,41280,41280,1690828800,3783.203,1239156500,154894562.5
39216,39216,39216,1606287360,4095.703,1341823000,167727875
41280,41280,41280,1690828800,3863.281,1265635000,158204375
41280,41280,41280,1690828800,4171.875,1366901500,170862687.5
41280,41280,41280,1690828800,3782.227,1238392500,154799062.5
41280,41280,41280,1690828800,4157.227,1361847500,170230937.5
41280,41280,41280,1690828800,3739.258,1225411000,153176375
41280,41280,41280,1690828800,4104.492,1345074000,168134250
41280,41280,41280,1690828800,4041.992,1324099500,165512437.5
43344,43344,43344,1775370240,4183.594,1370163500,171270437.5
41280,41280,41280,1690828800,4066.406,1331898500,166487312.5
41280,41280,41280,1690828800,4145.508,1358391000,169798875
41280,41280,41280,1690828800,3832.031,1255558500,156944812.5
41280,41280,41280,1690828800,4180.664,1369681000,171210125
43344,43344,43344,1775370240,4243.164,1390606500,173825812.5
41280,41280,41280,1690828800,3938.477,1290658000,161332250
43344,43344,43344,1775370240,4062.5,1331250000,166406250
41280,41280,41280,1690828800,4010.742,1314093500,164261687.5
41280,41280,41280,1690828800,4017.578,1315611500,164451437.5
41280,41280,41280,1690828800,3993.164,1308284500,163535562.5
41280,41280,41280,1690828800,4052.734,1326823500,165852937.5
43344,43344,43344,1775370240,3778.32,1237895000,154736875
41280,41280,41280,1690828800,4003.906,1312206500,164025812.5
41280,41280,41280,1690828800,4017.578,1315759000,164469875
41280,41280,41280,1690828800,4037.109,1322549500,165318687.5
41280,41280,41280,1690828800,4003.906,1311696500,163962062.5
41280,41280,41280,1690828800,4162.109,1364114500,170514312.5
41280,41280,41280,1690828800,4013.672,1315223000,164402875
41280,41280,41280,1690828800,4121.094,1350235000,168779375
41280,41280,41280,1690828800,4058.594,1328566500,166070812.5
43344,43344,43344,1775370240,4070.3125,1333215000,166651875
43344,43344,43344,1775370240,4135.742,1355087500,169385937.5
39216,39216,39216,1606287360,3824.219,1252804000,156600500
43344,43344,43344,1775370240,3816.406,1250324000,156290500
41280,41280,41280,1690828800,3781.25,1238747500,154843437.5
41280,41280,41280,1690828800,4088.867,1339343000,167417875
41280,41280,41280,1690828800,4024.414,1318616000,164827000
43344,43344,43344,1775370240,4199.219,1375976000,171997000
41280,41280,41280,1690828800,4125,1351566500,168945812.5
41280,41280,41280,1690828800,4083.008,1337633000,167204125
41280,41280,41280,1690828800,3827.148,1254061500,156757687.5
41280,41280,41280,1690828800,4007.8125,1313362000,164170250
41280,41280,41280,1690828800,3787.109,1240943500,155117937.5
